gene_symbol|functions|functions_reference|processes|processes_reference|components|components_reference
STOX1|DNA binding (GO:0003677)|15806103|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|15806103|Nucleus (GO:0005634);Cytoplasm (GO:0005737)|15806103
AAAS|Molecular function unknown (GO:0005554)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Peroxisome (GO:0005777)|11159947
MATR3|RNA binding (GO:0003723)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|9757574
GUCY1A2|Guanylate cyclase activity (GO:0004383)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737)|11158065
GUCY1A3|Guanylate cyclase activity (GO:0004383)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|-|-
TAS1R3|G-protein coupled receptor activity (GO:0004930)|11326277|Signal transduction (GO:0007165)|-|-|-
TAS1R2|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|10052456
SOST|Growth factor binding (GO:0019838)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Extracellular (GO:0005576)|11181578
TAS1R1|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|11894099
PDPN|Water channel activity (GO:0015250)|9651190|Transport (GO:0006810)|9651190|Plasma membrane (GO:0005886)|9651190;10393083
NR6A1|DNA binding (GO:0003677)|9099702|Regulation of gene expression, epigenetic (GO:0040029)|9099702|Acrosome (GO:0001669);Cytoplasm (GO:0005737);Nucleus (GO:0005634)|12606326;11969338
GUCY1B2|Guanylate cyclase activity (GO:0004383)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886);Cytoplasm (GO:0005737)|1980215;10717006
GUCY1B3|Guanylate cyclase activity (GO:0004383)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737)|10977868
DLG1|Cell adhesion molecule activity (GO:0005194)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886);Cytoplasm (GO:0005737)|8825652;12050163
DLG2|Cell adhesion molecule activity (GO:0005194)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|11997254
DLG3|Cell adhesion molecule activity (GO:0005194)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886);Endoplasmic reticulum (GO:0005783);Cytoplasm (GO:0005737)|8702950;10026200;12738960
DLG4|Cell adhesion molecule activity (GO:0005194)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737);Plasma membrane (GO:0005886)|12435606
DLG5|Cell adhesion molecule activity (GO:0005194)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886);Cytoplasm (GO:0005737)|9738934
DLG7|Phosphoprotein phosphatase activity (GO:0004721)|-|Regulation of cell cycle (GO:0000074);Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Centrosome (GO:0005813);Cytoplasm (GO:0005737)|12527899;12902344
AACS|Ligase activity (GO:0016874)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Cytoplasm (GO:0005737)|12623130;4073493
SIGLEC9|Cell adhesion molecule activity (GO:0005194)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Integral to membrane (GO:0016021)|10801860
SIGLEC8|Cell adhesion molecule activity (GO:0005194)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|10856141
SIGLEC7|Cell adhesion molecule activity (GO:0005194)|-|Immune response (GO:0006955)|-|Plasma membrane (GO:0005886)|10499918
SIGLEC6|Cell adhesion molecule activity (GO:0005194)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|10428856
SIGLEC5|Cell adhesion molecule activity (GO:0005194)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|9731071
IFNA1|Cytokine activity (GO:0005125)|-|Immune response (GO:0006955)|-|Extracellular (GO:0005576)|9425112
IFNA2|Cytokine activity (GO:0005125)|-|Immune response (GO:0006955)|-|Extracellular (GO:0005576)|9425112
IFNA4|Cytokine activity (GO:0005125)|-|Immune response (GO:0006955)|-|Extracellular (GO:0005576)|9425112
IFNA5|Cytokine activity (GO:0005125)|-|Immune response (GO:0006955)|-|Extracellular (GO:0005576)|-
IFNA6|Cytokine activity (GO:0005125)|-|Immune response (GO:0006955)|-|Extracellular (GO:0005576)|9425112
FAM70A|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
IFNA8|Cytokine activity (GO:0005125)|-|Immune response (GO:0006955)|-|Extracellular (GO:0005576)|9425112
BVES|Cell adhesion molecule activity (GO:0005194)|-|Biological_process unknown (GO:0000004)|-|Plasma membrane (GO:0005886)|-
IFNA7|Cytokine activity (GO:0005125)|-|Immune response (GO:0006955)|-|Extracellular (GO:0005576)|-
SIGLEC1|Cell adhesion molecule activity (GO:0005194)|-|Immune response (GO:0006955)|-|Plasma membrane (GO:0005886)|11133773
FAM70B|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Integral to membrane (GO:0016021)|-
IFNB1|Cytokine activity (GO:0005125)|-|Immune response (GO:0006955)|-|Extracellular (GO:0005576)|-
FAM71A|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
FAM71B|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
FAM71C|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
MANEAL|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
IMMT|Motor activity (GO:0003774)|-|Cell growth and/or maintenance (GO:0008151)|-|Mitochondrion (GO:0005739)|9168817
SOX1|Transcription factor activity (GO:0003700)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|9337405
SOX2|Transcription factor activity (GO:0003700)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|-
SOX3|Transcription factor activity (GO:0003700)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|14585968
SOX4|Transcription factor activity (GO:0003700)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|7706298
SOX5|DNA binding (GO:0003677);Transcription factor activity (GO:0003700)|8078769;8812465|Cell growth and/or maintenance (GO:0008151)|12406576|Nucleus (GO:0005634)|8078769;11585348
SOX6|Transcription factor activity (GO:0003700)|11255018|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|11255018|-|-
SOX7|Transcription regulator activity (GO:0030528)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|11691915
SLC36A4|Auxiliary transport protein activity (GO:0015457)|-|Transport (GO:0006810)|-|Integral to membrane (GO:0016021)|-
SOX9|Transcription factor activity (GO:0003700)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|8001137
SLC36A2|Auxiliary transport protein activity (GO:0015457)|-|Transport (GO:0006810)|-|Plasma membrane (GO:0005886);Endoplasmic reticulum (GO:0005783);Endosome (GO:0005768)|11959859;14600155
SLC36A1|Transporter activity (GO:0005215)|-|Transport (GO:0006810)|-|Lysosome (GO:0005764);Plasma membrane (GO:0005886)|12598615;12527723
SOX8|Transcription factor activity (GO:0003700)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|10662550
SLC36A3|Auxiliary transport protein activity (GO:0015457)|-|Transport (GO:0006810)|-|Integral to membrane (GO:0016021)|-
SEC31B|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
SEC31A|Transporter activity (GO:0005215)|10788476|Transport (GO:0006810)|10788476|Cytoplasm (GO:0005737);Golgi apparatus (GO:0005794);Endoplasmic reticulum (GO:0005783)|10788476
CCDC28A|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
CCDC28B|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
A3GALT2|Galactosyltransferase activity (GO:0008378)|10854427|Energy pathways (GO:0006091);Lipid metabolism (GO:0006629)|10854427|-|-
FAM73A|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Integral to membrane (GO:0016021)|-
FAM73B|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
DLK1|Growth factor activity (GO:0008083)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886);Extracellular (GO:0005576);Cytoplasm (GO:0005737)|11742219;7925474;10354070
IMP3|Ribonucleoprotein (GO:0003733)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleolus (GO:0005730)|12655004;11790298;15635413
IMP4|Ribonucleoprotein (GO:0003733)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleolus (GO:0005730);Cytoplasm (GO:0005737)|12655004;15635413;11790298;14565981
PRKRIP1|RNA binding (GO:0003723)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634);Nucleolus (GO:0005730);Cytoplasm (GO:0005737)|12679338
OR2L13|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Integral to membrane (GO:0016021)|-
LGALS12|Carbohydrate binding (GO:0030246)|-|Apoptosis (GO:0006915)|-|Nucleus (GO:0005634);Mitochondrion (GO:0005739)|11435439
RFESD|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
LGALS14|Carbohydrate binding (GO:0030246)|11997112|Immune response (GO:0006955)|11997112|Nucleus (GO:0005634)|11997112
DLL1|Calcium ion binding (GO:0005509)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886);Nucleus (GO:0005634);Cytoplasm (GO:0005737)|10079256;12794186
DLL3|Receptor binding (GO:0005102)|12791036;9272948;12746394|Cell communication (GO:0007154);Signal transduction (GO:0007165)|12791036;9272948;12746394|Plasma membrane (GO:0005886)|10742114
DLL4|Receptor binding (GO:0005102)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|10837024
LGALS13|Phospholipase activity (GO:0004620)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Cytoplasm (GO:0005737);Plasma membrane (GO:0005886)|11742106;15009185
FBN1|Extracellular matrix structural constituent (GO:0005201)|-|Cell growth and/or maintenance (GO:0008151)|-|Extracellular (GO:0005576)|11108952
FBN2|Structural molecule activity (GO:0005198)|-|Cell growth and/or maintenance (GO:0008151)|-|Extracellular (GO:0005576)|8120105
FBN3|Calcium ion binding (GO:0005509)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Extracellular (GO:0005576)|14962672
MYEOV|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
FAM75B|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
PDX1|Transcription factor activity (GO:0003700)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|8954967
NUAK1|Catalytic activity (GO:0003824)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|-|-
NUAK2|Protein serine/threonine kinase activity (GO:0004674)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737);Nucleus (GO:0005634)|14575707
LSM14B|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
LSM14A|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
LY6D|Cell adhesion molecule activity (GO:0005194)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|7790363
LY6E|Molecular function unknown (GO:0005554)|-|Immune response (GO:0006955)|-|Plasma membrane (GO:0005886)|11784869
PDXK|Catalytic activity (GO:0003824)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Cytoplasm (GO:0005737)|8510562
LY6H|Molecular function unknown (GO:0005554)|-|Immune response (GO:0006955)|-|Plasma membrane (GO:0005886)|9799603
