gene|cancer
HRAS|colon;bladder;breast;ovarian;lymphoma;lung;acute leukemia
RASA1|lung
FKHR|
OVC|
GLI|glioma;basal cell carcinoma
KIF14|breast;medulloblastoma
PTTG2|
NGFB|
HMGA1|burkitt lymphoma
HMGA2|lung;lipoma
FGF3|non-small cell lung carcinoma
FGF4|gastric
FGF5|renal cell carcinoma
FGF6|
NGFR|
ABCB1|ovarian;leukemia
USP4|small cell lung carcinoma
USP6|
CDK4|thyroid;melanoma
ELL|acute myeloid leukemia
DAPK1 |bladder
PIK3CA|ovarian;cervical;colon
NEDD9|
ANP32A|acute myeloid leukemia
VEGF|leukemia
BCL2A1 |gastric
TG|burkitt lymphoma
GNAI2|ovarian
FOSB|
E2F1|
MYB|myeloid leukemia;ovarian;melanoma
MYC|acute myeloid leukemia;colon;breast;liver;burkitt lymphoma;neuroblastoma;small cell lung carcinoma;hepatocellular carcinoma
VEGFB|
MRGX1|
MRGX2|
MRGX3|
MRGX4|
PASK|myeloid leukemia
MYCL1|small cell lung carcinoma
ESR1|breast;cervical;bladder
ARAF1|sarcoma
SPATA4|
CBLB|breast
MST2|
GRB2|
TGFA |burkitt lymphoma
DDX6|b-cell lymphoma
CDON|
TSN |acute lymphoblastic leukemia
EST2|
SCCA1|
RHOA|
RHOB|
RHOC|
RREB1|
SKIIP|
CAV1 |breast;ovarian;prostate;colon;uterine sarcoma;leiomyoma
ERG|prostate
PTTG1 |colon
ERF|
DDIT3|liposarcoma
VHL|renal cell carcinoma
SERTAD3|
CYLD|
MCTS1|chronic lymphocytic leukemia
MKL1|acute megakaryoblastic leukemia
TFG|thyroid
DKC1|
VIS1|murine myeloid leukemia
VIS2|
PAX3|alveolar rhabdomyosarcoma
PAX8|thyroid
MN1 |acute myeloid leukemia
CSF1|
EGFR|non-small cell lung carcinoma;colon
PVT1|burkitt lymphoma
MMP1|breast
COL1A2|
MSX2|
CBFA2T1|acute myeloid leukemia
MMP9|
CBFA2T2|acute myeloid leukemia
REL|breast
CRK|
RET|thyroid;leukemia;bladder;multiple endocrine neoplasia type ii;hirschsprung disease
BCAR1 |breast
MLLT4|mixed lineage leukemia
MLLT7|acute leukemia
GNAS|thyroid
TOM1|
AR |prostate;breast;endometrial;colon
CSF1R|myeloid leukemia
FOXO1A|
MCF2|b-cell lymphoma
USP11|ovarian
NCL|cervical
NRAS|colon;thyroid;myeloma;primary plasma cell leukemia;papillary thyroid
MYCLK1|
ENPP1|leukemia
NOTCH1 |melanoma;t-cell acute lymphoblastic leukemia
TLS|liposarcoma;leukemogenesis
PGR|breast;endometrial
ARHGEF5|breast
ATM|breast
NFKB1|
NFKB2|b-cell lymphoma;chronic lymphocytic leukemia
USP32|
GPHN|
MAFA|
MAFB|myelogenous leukemia
LCK|t-cell acute lymphoblastic leukemia
NET1|neuroepithelioma
MAFF|
MAFG|
LCO|liver
MAFK|
GOLGA5|papillary thyroid
TNF|
TCL1A|t-cell leukemia
TCL1B|t-cell leukemia
RHOH |lymphoma
LMO2|t-cell acute lymphoblastic leukemia;large-b-cell lymphoma
FURIN|non-small cell lung carcinoma
HBA1|
LEP|
MEN1|leukemia
SSPN|lung;ovarian
NUMB |acute lymphoblastic leukemia
ABI2|abelson murine leukemia
STAT3|
NOTCH4|mmtv
AXL|myeloid leukemia
CARD11|diffuse large b cell lymphoma
MITF|melanoma
USP8 |chronic myeloproliferative disorder
MCM2|acute myeloid leukemia
TCL6 |t-cell leukemia
EGR1|
EGR2|
PML|acute promyelocytic leukemia
GLI2|glioma;basal cell carcinoma
GLI3|glioblastoma
GLI4|
CCND1|
CCND3|
ABL1|chronic myeloid leukemia
ABL2|acute myeloid leukemia
MRAS|
SKIL|
FASN|prostate;breast;cervical;bladder;ovarian
VAV1|acute lymphoblastic leukemia
VAV2|
VAV3|
JUNB|hodgkin lymphoma;anaplastic large cell lymphoma
JUND|
ERAS|
PPARG1|
FGFR1OP2|acute myeloid leukemia
EVI1|myeloid leukemia;myelodysplastic syndrome
ODC1|colon
NCYM|small cell lung carcinoma
RHEB2|
ZIC1|
HGF|
EVI2A|myeloid leukemia
EVI2B|myeloid leukemia
SEPT9|acute myeloid leukemia;ovarian
RUNX1|leukemia
YWHAB|
SSX1|
NOV|
TRIM33|papillary thyroid
EPB72 |chronic myeloid leukemia
FES|acute promyelocytic leukemia
DCC|colon;gastric
DCD|breast
FGFR1|acute myeloid leukemia;b-cell lymphoma;myeloid hyperplasia;eosinophilia
FGFR3|myeloma;epithelial;bladder;cervical
TRIM24|papillary thyroid
NPM1|acute myeloid leukemia
ABR |acute myeloid leukemia
EEF1A1L14|prostate;lung;breast;colon
MRGD|
MRGE|
MRGF|
MRGG|
WNT1|mmtv
WNT2|breast
WNT3|mmtv
ECT2|
SKP2|lymphoma;breast
FGR|sarcoma
DACH1|pituitary precursor cell proliferation
BMI1|breast;leukemia
NRL|
MAS1|
DEK|acute myeloid leukemia
SMYD2|
TAL2|t-cell acute lymphoblastic leukemia
GFI1|myeloid leukemia
ZEB2|epithelial
LCN2|
FLI1|leukemia
LPP|
BCR|chronic myeloid leukemia;acute lymphoblastic leukemia
RRAS2|ovarian
CCL3L2|
TTF1|
PTP4A3|colon
PRKAR1A|papillary thyroid
PTCH1 |basal cell carcinoma;medulloblastoma;rhabdomyosarcoma
NUT|
EEF1A2|ovarian
HTATIP|lymphoma
DJ1|
TCRA|t-cell leukemia;lymphoma
DRD4|
MAP3K8|lung
JARID1A|b-cell leukemia;glioblastoma
CXCL1|ovarian;breast
CXCL2|
CXCL3|melanoma
CCDC6|papillary thyroid
NCOA4|prostate
ROS1|glioblastoma;acute lymphoblastic leukemia;melanoma;ovarian
PDGFRB|
PDGFRA|basal cell carcinoma
WISP1|gastric;colon
CYP24A1|breast
ELAVL4|neuroblastoma
FOSL1|
MAP3K11|
EWSR1|ewing sarcoma
ANXA2|
JMJD2C|esophageal
FOS|bone lesions;skin
C11ORF30|osteosarcoma;ovarian;breast
RPL7A|
YUASA|
JUN|intestinal
JUP|breast;ovarian
ETS1|colon;ewing sarcoma;acute lymphoblastic leukemia
ETS2|breast;acute myeloid leukemia
LIG4 |myeloma
RGL4|
HSCR5|hirschsprung disease
KRAS|lung;colon;breast;gastric;pancreatic;biliary;bladder;acute myeloid leukemia
LYN|hyperglobulinemia
MPP3|
MYBL1|
MYBL2|
TNFRSF6|papillary thyroid;follicular lymphoma;thyroid
MEIS1|neuroblastoma
MLL |mixed lineage leukemia
RAF1|gastric
EPOR|myeloid leukemia;erythroleukemia
ELK1|lung
ELK3|
LUZP1|
H3F3A|
TLE1|adenocarcinoma
EIF3E|mmtv
VWCE|colon;gastric;lung;breast
PBX1|b-cell leukemia
PBX2|b-cell leukemia
ETV3|
ETV4|ewing sarcoma
ETV6|acute lymphoblastic leukemia
PBX3|b-cell leukemia
CXCL10|colon
FLT1|
FLT3|acute myeloid leukemia
RELA|
RELB|
AKAP13|breast
EIF4E|
CDC91L1|bladder
SEA|
SET|acute myeloid leukemia
CEBPD |prostate;ovarian
FRAT1|
ERPL1|
BAG1|
FUS|
SH3BP2 |myeloid leukemia
STYK1|lung
RMYC|
GNA12|
RAB8A|
SHH|pancreatic
BCL2|glioma;b-cell leukemia
USP6NL|
BCL3|chronic lymphocytic leukemia
BCL5|b-cell leukemia;lymphoma
BCL6|lymphoma
EIF5A2|ovarian
MAF|
BMYC|
SMOH |basal cell carcinoma;medulloblastoma;rhabdomyosarcoma
HPV18I1|cervical
TRPM8|prostate
RALA|leukemia
RALB|leukemia
IL2 |t-cell lymphoma
